Date,Close
03/01/2017 16:00:00,753.67
04/01/2017 16:00:00,757.18
05/01/2017 16:00:00,780.45
06/01/2017 16:00:00,795.99
09/01/2017 16:00:00,796.92
10/01/2017 16:00:00,795.9
11/01/2017 16:00:00,799.02
12/01/2017 16:00:00,813.64
13/01/2017 16:00:00,817.14
17/01/2017 16:00:00,809.72
18/01/2017 16:00:00,807.48
19/01/2017 16:00:00,809.04
20/01/2017 16:00:00,808.33
23/01/2017 16:00:00,817.88
24/01/2017 16:00:00,822.44
25/01/2017 16:00:00,836.52
26/01/2017 16:00:00,839.15
27/01/2017 16:00:00,835.77
30/01/2017 16:00:00,830.38
31/01/2017 16:00:00,823.48
01/02/2017 16:00:00,832.35
02/02/2017 16:00:00,839.95
03/02/2017 16:00:00,810.2
06/02/2017 16:00:00,807.64
07/02/2017 16:00:00,812.5
08/02/2017 16:00:00,819.71
09/02/2017 16:00:00,821.36
10/02/2017 16:00:00,827.46
13/02/2017 16:00:00,836.53
14/02/2017 16:00:00,836.39
15/02/2017 16:00:00,842.7
16/02/2017 16:00:00,844.14
17/02/2017 16:00:00,845.07
21/02/2017 16:00:00,856.44
22/02/2017 16:00:00,855.61
23/02/2017 16:00:00,852.19
24/02/2017 16:00:00,845.24
27/02/2017 16:00:00,848.64
28/02/2017 16:00:00,845.04
01/03/2017 16:00:00,853.08
02/03/2017 16:00:00,848.91
03/03/2017 16:00:00,849.88
06/03/2017 16:00:00,846.61
07/03/2017 16:00:00,846.02
08/03/2017 16:00:00,850.5
09/03/2017 16:00:00,853
10/03/2017 16:00:00,852.46
13/03/2017 16:00:00,854.59
14/03/2017 16:00:00,852.53
15/03/2017 16:00:00,852.97
16/03/2017 16:00:00,853.42
17/03/2017 16:00:00,852.31
20/03/2017 16:00:00,856.97
21/03/2017 16:00:00,843.2
22/03/2017 16:00:00,848.06
23/03/2017 16:00:00,847.38
24/03/2017 16:00:00,845.61
27/03/2017 16:00:00,846.82
28/03/2017 16:00:00,856
29/03/2017 16:00:00,874.32
30/03/2017 16:00:00,876.34
31/03/2017 16:00:00,886.54
03/04/2017 16:00:00,891.51
04/04/2017 16:00:00,906.83
05/04/2017 16:00:00,909.28
06/04/2017 16:00:00,898.28
07/04/2017 16:00:00,894.88
10/04/2017 16:00:00,907.04
11/04/2017 16:00:00,902.36
12/04/2017 16:00:00,896.23
13/04/2017 16:00:00,884.67
17/04/2017 16:00:00,901.99
18/04/2017 16:00:00,903.78
19/04/2017 16:00:00,899.2
20/04/2017 16:00:00,902.06
21/04/2017 16:00:00,898.53
24/04/2017 16:00:00,907.41
25/04/2017 16:00:00,907.62
26/04/2017 16:00:00,909.29
27/04/2017 16:00:00,918.38
28/04/2017 16:00:00,924.99
01/05/2017 16:00:00,948.23
02/05/2017 16:00:00,946.94
03/05/2017 16:00:00,941.03
04/05/2017 16:00:00,937.53
05/05/2017 16:00:00,934.15
08/05/2017 16:00:00,949.04
09/05/2017 16:00:00,952.82
10/05/2017 16:00:00,948.95
11/05/2017 16:00:00,947.62
