Date,Close
03/01/2017 16:00:00,116.86
04/01/2017 16:00:00,118.69
05/01/2017 16:00:00,120.67
06/01/2017 16:00:00,123.41
09/01/2017 16:00:00,124.9
10/01/2017 16:00:00,124.35
11/01/2017 16:00:00,126.09
12/01/2017 16:00:00,126.62
13/01/2017 16:00:00,128.34
17/01/2017 16:00:00,127.87
18/01/2017 16:00:00,127.92
19/01/2017 16:00:00,127.55
20/01/2017 16:00:00,127.04
23/01/2017 16:00:00,128.93
24/01/2017 16:00:00,129.37
25/01/2017 16:00:00,131.48
26/01/2017 16:00:00,132.78
27/01/2017 16:00:00,132.18
30/01/2017 16:00:00,130.98
31/01/2017 16:00:00,130.32
01/02/2017 16:00:00,133.23
02/02/2017 16:00:00,130.84
03/02/2017 16:00:00,130.98
06/02/2017 16:00:00,132.06
07/02/2017 16:00:00,131.84
08/02/2017 16:00:00,134.2
09/02/2017 16:00:00,134.14
10/02/2017 16:00:00,134.19
13/02/2017 16:00:00,134.05
14/02/2017 16:00:00,133.85
15/02/2017 16:00:00,133.44
16/02/2017 16:00:00,133.84
17/02/2017 16:00:00,133.53
21/02/2017 16:00:00,133.72
22/02/2017 16:00:00,136.12
23/02/2017 16:00:00,135.36
24/02/2017 16:00:00,135.44
27/02/2017 16:00:00,136.41
28/02/2017 16:00:00,135.54
01/03/2017 16:00:00,137.42
02/03/2017 16:00:00,136.76
03/03/2017 16:00:00,137.17
06/03/2017 16:00:00,137.42
07/03/2017 16:00:00,137.3
08/03/2017 16:00:00,137.72
09/03/2017 16:00:00,138.24
10/03/2017 16:00:00,138.79
13/03/2017 16:00:00,139.6
14/03/2017 16:00:00,139.32
15/03/2017 16:00:00,139.72
16/03/2017 16:00:00,139.99
17/03/2017 16:00:00,139.84
20/03/2017 16:00:00,139.94
21/03/2017 16:00:00,138.51
22/03/2017 16:00:00,139.59
23/03/2017 16:00:00,139.53
24/03/2017 16:00:00,140.34
27/03/2017 16:00:00,140.32
28/03/2017 16:00:00,141.76
29/03/2017 16:00:00,142.65
30/03/2017 16:00:00,142.41
31/03/2017 16:00:00,142.05
03/04/2017 16:00:00,142.28
04/04/2017 16:00:00,141.73
05/04/2017 16:00:00,141.85
06/04/2017 16:00:00,141.17
07/04/2017 16:00:00,140.78
10/04/2017 16:00:00,141.04
11/04/2017 16:00:00,139.92
12/04/2017 16:00:00,139.58
13/04/2017 16:00:00,139.39
17/04/2017 16:00:00,141.42
18/04/2017 16:00:00,140.96
19/04/2017 16:00:00,142.27
20/04/2017 16:00:00,143.8
21/04/2017 16:00:00,143.68
24/04/2017 16:00:00,145.47
25/04/2017 16:00:00,146.49
26/04/2017 16:00:00,146.56
27/04/2017 16:00:00,147.7
28/04/2017 16:00:00,150.25
01/05/2017 16:00:00,152.46
02/05/2017 16:00:00,152.78
03/05/2017 16:00:00,151.8
04/05/2017 16:00:00,150.85
05/05/2017 16:00:00,150.24
08/05/2017 16:00:00,151.06
09/05/2017 16:00:00,150.48
10/05/2017 16:00:00,150.29
11/05/2017 16:00:00,150.04
12/05/2017 16:00:00,150.33
15/05/2017 16:00:00,150.19
16/05/2017 16:00:00,149.78
17/05/2017 16:00:00,144.85
18/05/2017 16:00:00,147.66
19/05/2017 16:00:00,148.06
22/05/2017 16:00:00,148.24
23/05/2017 16:00:00,148.07
24/05/2017 16:00:00,150.04
25/05/2017 16:00:00,151.96
26/05/2017 16:00:00,152.13
30/05/2017 16:00:00,152.38
31/05/2017 16:00:00,151.46
01/06/2017 16:00:00,151.53
02/06/2017 16:00:00,153.61
05/06/2017 16:00:00,153.63
06/06/2017 16:00:00,152.81
07/06/2017 16:00:00,153.12
08/06/2017 16:00:00,154.71
09/06/2017 16:00:00,149.6
12/06/2017 16:00:00,148.44
13/06/2017 16:00:00,150.68
14/06/2017 16:00:00,150.25
15/06/2017 16:00:00,149.8
16/06/2017 16:00:00,150.64
19/06/2017 16:00:00,152.87
20/06/2017 16:00:00,152.25
21/06/2017 16:00:00,153.91
22/06/2017 16:00:00,153.4
23/06/2017 16:00:00,155.07
26/06/2017 16:00:00,153.59
27/06/2017 16:00:00,150.58
28/06/2017 16:00:00,153.24
29/06/2017 16:00:00,151.04
30/06/2017 16:00:00,150.98
03/07/2017 16:00:00,148.43
05/07/2017 16:00:00,150.34
06/07/2017 16:00:00,148.82
07/07/2017 16:00:00,151.44
10/07/2017 16:00:00,153.5
11/07/2017 16:00:00,155.27
12/07/2017 16:00:00,158.9
13/07/2017 16:00:00,159.26
14/07/2017 16:00:00,159.97
17/07/2017 16:00:00,159.73
18/07/2017 16:00:00,162.86
19/07/2017 16:00:00,164.14
20/07/2017 16:00:00,164.53
21/07/2017 16:00:00,164.43
24/07/2017 16:00:00,166
25/07/2017 16:00:00,165.28
26/07/2017 16:00:00,165.61
27/07/2017 16:00:00,170.44
28/07/2017 16:00:00,172.45
31/07/2017 16:00:00,169.25
01/08/2017 16:00:00,169.86
02/08/2017 16:00:00,169.3
03/08/2017 16:00:00,168.59
04/08/2017 16:00:00,169.62
07/08/2017 16:00:00,171.98
08/08/2017 16:00:00,171.23
09/08/2017 16:00:00,171.18
10/08/2017 16:00:00,167.4
11/08/2017 16:00:00,168.08
14/08/2017 16:00:00,170.75
15/08/2017 16:00:00,171
16/08/2017 16:00:00,170
17/08/2017 16:00:00,166.91
18/08/2017 16:00:00,167.41
21/08/2017 16:00:00,167.78
22/08/2017 16:00:00,169.64
23/08/2017 16:00:00,168.71
24/08/2017 16:00:00,167.74
25/08/2017 16:00:00,166.32
28/08/2017 16:00:00,167.24
29/08/2017 16:00:00,168.05
30/08/2017 16:00:00,169.92
31/08/2017 16:00:00,171.97
01/09/2017 16:00:00,172.02
05/09/2017 16:00:00,170.72
06/09/2017 16:00:00,172.09
07/09/2017 16:00:00,173.21
08/09/2017 16:00:00,170.95
11/09/2017 16:00:00,173.51
12/09/2017 16:00:00,172.96
13/09/2017 16:00:00,173.05
14/09/2017 16:00:00,170.96
15/09/2017 16:00:00,171.64
18/09/2017 16:00:00,170.01
19/09/2017 16:00:00,172.52
20/09/2017 16:00:00,172.17
21/09/2017 16:00:00,171.11
22/09/2017 16:00:00,170.54
25/09/2017 16:00:00,162.87
26/09/2017 16:00:00,164.21
27/09/2017 16:00:00,167.68
28/09/2017 16:00:00,168.73
29/09/2017 16:00:00,170.87
02/10/2017 16:00:00,169.47
03/10/2017 16:00:00,169.96
04/10/2017 16:00:00,168.42
05/10/2017 16:00:00,171.24
06/10/2017 16:00:00,172.23
09/10/2017 16:00:00,172.5
10/10/2017 16:00:00,171.59
11/10/2017 16:00:00,172.74
12/10/2017 16:00:00,172.55
13/10/2017 16:00:00,173.74
16/10/2017 16:00:00,174.52
17/10/2017 16:00:00,176.11
18/10/2017 16:00:00,176.03
19/10/2017 16:00:00,174.56
20/10/2017 16:00:00,174.98
23/10/2017 16:00:00,171.27
24/10/2017 16:00:00,171.8
25/10/2017 16:00:00,170.6
26/10/2017 16:00:00,170.63
27/10/2017 16:00:00,177.88
30/10/2017 16:00:00,179.87
31/10/2017 16:00:00,180.06
01/11/2017 16:00:00,182.66
02/11/2017 16:00:00,178.92
03/11/2017 16:00:00,178.92
06/11/2017 16:00:00,180.17
07/11/2017 16:00:00,180.25
08/11/2017 16:00:00,179.56
09/11/2017 16:00:00,179.3
10/11/2017 16:00:00,178.46
13/11/2017 16:00:00,178.77
14/11/2017 16:00:00,178.07
15/11/2017 16:00:00,177.95
16/11/2017 16:00:00,179.59
17/11/2017 16:00:00,179
20/11/2017 16:00:00,178.74
21/11/2017 16:00:00,181.86
22/11/2017 16:00:00,180.87
24/11/2017 13:00:00,182.78
27/11/2017 16:00:00,183.03
28/11/2017 16:00:00,182.42
29/11/2017 16:00:00,175.13
30/11/2017 16:00:00,177.18
01/12/2017 16:00:00,175.1
04/12/2017 16:00:00,171.47
05/12/2017 16:00:00,172.83
06/12/2017 16:00:00,176.06
07/12/2017 16:00:00,180.14
08/12/2017 16:00:00,179
11/12/2017 16:00:00,179.04
12/12/2017 16:00:00,176.96
13/12/2017 16:00:00,178.3
14/12/2017 16:00:00,178.39
15/12/2017 16:00:00,180.18
18/12/2017 16:00:00,180.82
19/12/2017 16:00:00,179.51
20/12/2017 16:00:00,177.89
21/12/2017 16:00:00,177.45
22/12/2017 16:00:00,177.2
26/12/2017 16:00:00,175.99
27/12/2017 16:00:00,177.62
28/12/2017 16:00:00,177.92
29/12/2017 16:00:00,176.46
02/01/2018 16:00:00,181.42
03/01/2018 16:00:00,184.67
04/01/2018 16:00:00,184.33
05/01/2018 16:00:00,186.85
08/01/2018 16:00:00,188.28
09/01/2018 16:00:00,187.87
10/01/2018 16:00:00,187.84
11/01/2018 16:00:00,187.77
12/01/2018 16:00:00,179.37
16/01/2018 16:00:00,178.39
17/01/2018 16:00:00,177.6
18/01/2018 16:00:00,179.8
19/01/2018 16:00:00,181.29
22/01/2018 16:00:00,185.37
23/01/2018 16:00:00,189.35
24/01/2018 16:00:00,186.55
25/01/2018 16:00:00,187.48
26/01/2018 16:00:00,190
29/01/2018 16:00:00,185.98
30/01/2018 16:00:00,187.12
31/01/2018 16:00:00,186.89
01/02/2018 16:00:00,193.09
02/02/2018 16:00:00,190.28
05/02/2018 16:00:00,181.26
06/02/2018 16:00:00,185.31
07/02/2018 16:00:00,180.18
08/02/2018 16:00:00,171.58
09/02/2018 16:00:00,176.11
12/02/2018 16:00:00,176.41
13/02/2018 16:00:00,173.15
14/02/2018 16:00:00,179.52
15/02/2018 16:00:00,179.96
16/02/2018 16:00:00,177.36
20/02/2018 16:00:00,176.01
21/02/2018 16:00:00,177.91
22/02/2018 16:00:00,178.99
23/02/2018 16:00:00,183.29
26/02/2018 16:00:00,184.93
27/02/2018 16:00:00,181.46
28/02/2018 16:00:00,178.32
01/03/2018 16:00:00,175.94
02/03/2018 16:00:00,176.62
05/03/2018 16:00:00,180.4
06/03/2018 16:00:00,179.78
07/03/2018 16:00:00,183.71
08/03/2018 16:00:00,182.34
09/03/2018 16:00:00,185.23
12/03/2018 16:00:00,184.76
13/03/2018 16:00:00,181.88
14/03/2018 16:00:00,184.19
15/03/2018 16:00:00,183.86
16/03/2018 16:00:00,185.09
19/03/2018 16:00:00,172.56
20/03/2018 16:00:00,168.15
21/03/2018 16:00:00,169.39
22/03/2018 16:00:00,164.89
23/03/2018 16:00:00,159.39
26/03/2018 16:00:00,160.06
27/03/2018 16:00:00,152.22
28/03/2018 16:00:00,153.03
29/03/2018 16:00:00,159.79
02/04/2018 16:00:00,155.39
03/04/2018 16:00:00,156.11
04/04/2018 16:00:00,155.1
05/04/2018 16:00:00,159.34
06/04/2018 16:00:00,157.2
09/04/2018 16:00:00,157.93
10/04/2018 16:00:00,165.04
11/04/2018 16:00:00,166.32
12/04/2018 16:00:00,163.87
13/04/2018 16:00:00,164.52
16/04/2018 16:00:00,164.83
17/04/2018 16:00:00,168.66
18/04/2018 16:00:00,166.36
19/04/2018 16:00:00,168.1
20/04/2018 16:00:00,166.28
23/04/2018 16:00:00,165.84
24/04/2018 16:00:00,159.69
25/04/2018 16:00:00,159.69
26/04/2018 16:00:00,174.16
27/04/2018 16:00:00,173.59
30/04/2018 16:00:00,172
01/05/2018 16:00:00,173.86
02/05/2018 16:00:00,176.07
03/05/2018 16:00:00,174.02
04/05/2018 16:00:00,176.61
07/05/2018 16:00:00,177.97
08/05/2018 16:00:00,178.92
09/05/2018 16:00:00,182.66
10/05/2018 16:00:00,185.53
11/05/2018 16:00:00,186.99
14/05/2018 16:00:00,186.64
15/05/2018 16:00:00,184.32
16/05/2018 16:00:00,183.2
17/05/2018 16:00:00,183.76
18/05/2018 16:00:00,182.68
21/05/2018 16:00:00,184.49
22/05/2018 16:00:00,183.8
23/05/2018 16:00:00,186.9
24/05/2018 16:00:00,185.93
25/05/2018 16:00:00,184.92
29/05/2018 16:00:00,185.74
30/05/2018 16:00:00,187.67
31/05/2018 16:00:00,191.78
01/06/2018 16:00:00,193.99
04/06/2018 16:00:00,193.28
05/06/2018 16:00:00,192.94
06/06/2018 16:00:00,191.34
07/06/2018 16:00:00,188.18
08/06/2018 16:00:00,189.1
11/06/2018 16:00:00,191.54
