Date,Close
03/01/2017 16:00:00,16.44
04/01/2017 16:00:00,16.86
05/01/2017 16:00:00,17.09
06/01/2017 16:00:00,17.17
09/01/2017 16:00:00,17.5
10/01/2017 16:00:00,17.37
11/01/2017 16:00:00,17.3
12/01/2017 16:00:00,17.38
13/01/2017 16:00:00,17.25
17/01/2017 16:00:00,16.96
18/01/2017 16:00:00,17.11
19/01/2017 16:00:00,16.79
20/01/2017 16:00:00,16.58
23/01/2017 16:00:00,16.61
24/01/2017 16:00:00,16.52
25/01/2017 16:00:00,16.73
26/01/2017 16:00:00,16.81
27/01/2017 16:00:00,16.57
30/01/2017 16:00:00,16.94
31/01/2017 16:00:00,17.62
01/02/2017 16:00:00,17.24
02/02/2017 16:00:00,17.78
03/02/2017 16:00:00,17.61
06/02/2017 16:00:00,17.93
07/02/2017 16:00:00,18.26
08/02/2017 16:00:00,18.72
09/02/2017 16:00:00,16.41
10/02/2017 16:00:00,15.58
13/02/2017 16:00:00,15.81
14/02/2017 16:00:00,16.52
15/02/2017 16:00:00,16.74
16/02/2017 16:00:00,16.35
17/02/2017 16:00:00,16.62
21/02/2017 16:00:00,16.42
22/02/2017 16:00:00,16.08
23/02/2017 16:00:00,16.03
24/02/2017 16:00:00,15.98
27/02/2017 16:00:00,16.06
28/02/2017 16:00:00,15.77
01/03/2017 16:00:00,15.79
02/03/2017 16:00:00,15.79
03/03/2017 16:00:00,15.75
06/03/2017 16:00:00,15.56
07/03/2017 16:00:00,15.18
08/03/2017 16:00:00,15.24
09/03/2017 16:00:00,15.22
10/03/2017 16:00:00,15.12
13/03/2017 16:00:00,15.21
14/03/2017 16:00:00,15.32
15/03/2017 16:00:00,15.03
16/03/2017 16:00:00,15.19
17/03/2017 16:00:00,15.08
20/03/2017 16:00:00,15.09
21/03/2017 16:00:00,14.54
22/03/2017 16:00:00,14.98
23/03/2017 16:00:00,14.93
24/03/2017 16:00:00,15.14
27/03/2017 16:00:00,14.99
28/03/2017 16:00:00,14.94
29/03/2017 16:00:00,15.04
30/03/2017 16:00:00,14.92
31/03/2017 16:00:00,14.95
03/04/2017 16:00:00,14.84
04/04/2017 16:00:00,14.69
05/04/2017 16:00:00,14.53
06/04/2017 16:00:00,14.39
07/04/2017 16:00:00,14.29
10/04/2017 16:00:00,14.36
11/04/2017 16:00:00,14.31
12/04/2017 16:00:00,14.42
13/04/2017 16:00:00,14.3
17/04/2017 16:00:00,14.4
18/04/2017 16:00:00,14.44
19/04/2017 16:00:00,14.54
20/04/2017 16:00:00,14.65
21/04/2017 16:00:00,14.63
24/04/2017 16:00:00,14.71
25/04/2017 16:00:00,14.66
26/04/2017 16:00:00,15.82
27/04/2017 16:00:00,16.61
28/04/2017 16:00:00,16.48
01/05/2017 16:00:00,17.54
02/05/2017 16:00:00,18.24
03/05/2017 16:00:00,18.57
04/05/2017 16:00:00,18.48
05/05/2017 16:00:00,18.69
08/05/2017 16:00:00,18.31
09/05/2017 16:00:00,18.37
10/05/2017 16:00:00,18.54
11/05/2017 16:00:00,18.39
12/05/2017 16:00:00,18.61
15/05/2017 16:00:00,19.23
16/05/2017 16:00:00,19.49
17/05/2017 16:00:00,18.28
18/05/2017 16:00:00,18.51
19/05/2017 16:00:00,18.35
22/05/2017 16:00:00,18.43
23/05/2017 16:00:00,18.15
24/05/2017 16:00:00,17.98
25/05/2017 16:00:00,17.95
26/05/2017 16:00:00,18.23
30/05/2017 16:00:00,18.43
31/05/2017 16:00:00,18.32
01/06/2017 16:00:00,18.53
02/06/2017 16:00:00,18.31
05/06/2017 16:00:00,18.23
06/06/2017 16:00:00,17.57
07/06/2017 16:00:00,17.44
08/06/2017 16:00:00,17.59
09/06/2017 16:00:00,16.9
12/06/2017 16:00:00,17.04
13/06/2017 16:00:00,16.97
14/06/2017 16:00:00,16.76
15/06/2017 16:00:00,16.83
16/06/2017 16:00:00,16.67
19/06/2017 16:00:00,17.06
20/06/2017 16:00:00,16.91
21/06/2017 16:00:00,17.78
22/06/2017 16:00:00,18.15
23/06/2017 16:00:00,18.5
26/06/2017 16:00:00,18.29
27/06/2017 16:00:00,18.12
28/06/2017 16:00:00,17.95
29/06/2017 16:00:00,17.65
30/06/2017 16:00:00,17.87
03/07/2017 16:00:00,17.65
05/07/2017 16:00:00,17.82
06/07/2017 16:00:00,17.92
07/07/2017 16:00:00,18.02
10/07/2017 16:00:00,18.08
11/07/2017 16:00:00,18.64
12/07/2017 16:00:00,19.25
13/07/2017 16:00:00,19.32
14/07/2017 16:00:00,19.64
17/07/2017 16:00:00,19.94
18/07/2017 16:00:00,19.98
19/07/2017 16:00:00,20.12
20/07/2017 16:00:00,20.53
21/07/2017 16:00:00,20.11
24/07/2017 16:00:00,20
25/07/2017 16:00:00,19.97
26/07/2017 16:00:00,19.61
27/07/2017 16:00:00,16.84
28/07/2017 16:00:00,16.75
31/07/2017 16:00:00,16.09
01/08/2017 16:00:00,16.21
02/08/2017 16:00:00,16.07
03/08/2017 16:00:00,16.18
04/08/2017 16:00:00,16.29
07/08/2017 16:00:00,16.4
08/08/2017 16:00:00,16.15
09/08/2017 16:00:00,16.14
10/08/2017 16:00:00,15.75
11/08/2017 16:00:00,15.92
14/08/2017 16:00:00,16.09
15/08/2017 16:00:00,15.95
16/08/2017 16:00:00,16.16
17/08/2017 16:00:00,15.87
18/08/2017 16:00:00,15.99
21/08/2017 16:00:00,16.11
22/08/2017 16:00:00,16.63
23/08/2017 16:00:00,16.96
24/08/2017 16:00:00,16.89
25/08/2017 16:00:00,16.65
28/08/2017 16:00:00,16.77
29/08/2017 16:00:00,16.93
30/08/2017 16:00:00,16.93
31/08/2017 16:00:00,16.91
01/09/2017 16:00:00,16.86
05/09/2017 16:00:00,16.65
06/09/2017 16:00:00,16.83
07/09/2017 16:00:00,17.22
08/09/2017 16:00:00,17.45
11/09/2017 16:00:00,17.66
12/09/2017 16:00:00,18.17
13/09/2017 16:00:00,18.2
14/09/2017 16:00:00,18.21
15/09/2017 16:00:00,18.01
18/09/2017 16:00:00,17.6
19/09/2017 16:00:00,17.76
20/09/2017 16:00:00,17.62
21/09/2017 16:00:00,17.58
22/09/2017 16:00:00,17.61
25/09/2017 16:00:00,16.98
26/09/2017 16:00:00,16.59
27/09/2017 16:00:00,16.95
28/09/2017 16:00:00,16.85
29/09/2017 16:00:00,16.87
02/10/2017 16:00:00,17.09
03/10/2017 16:00:00,17.59
04/10/2017 16:00:00,17.75
05/10/2017 16:00:00,18.25
06/10/2017 16:00:00,17.85
09/10/2017 16:00:00,17.67
10/10/2017 16:00:00,17.41
11/10/2017 16:00:00,17.73
12/10/2017 16:00:00,18.45
13/10/2017 16:00:00,18.63
16/10/2017 16:00:00,18.33
17/10/2017 16:00:00,18.28
18/10/2017 16:00:00,18.02
19/10/2017 16:00:00,17.89
20/10/2017 16:00:00,17.87
23/10/2017 16:00:00,17.37
24/10/2017 16:00:00,17.25
25/10/2017 16:00:00,17.14
26/10/2017 16:00:00,20.31
27/10/2017 16:00:00,21.68
30/10/2017 16:00:00,21.25
31/10/2017 16:00:00,20.62
01/11/2017 16:00:00,20.61
02/11/2017 16:00:00,19.71
03/11/2017 16:00:00,19.9
06/11/2017 16:00:00,19.39
07/11/2017 16:00:00,19.66
08/11/2017 16:00:00,19.59
09/11/2017 16:00:00,19.9
10/11/2017 16:00:00,20.32
13/11/2017 16:00:00,20.17
14/11/2017 16:00:00,20.05
15/11/2017 16:00:00,19.91
16/11/2017 16:00:00,20.36
17/11/2017 16:00:00,20.76
20/11/2017 16:00:00,21.13
21/11/2017 16:00:00,21.88
22/11/2017 16:00:00,22.27
24/11/2017 13:00:00,22.42
27/11/2017 16:00:00,21.82
28/11/2017 16:00:00,21.83
29/11/2017 16:00:00,20.79
30/11/2017 16:00:00,20.58
01/12/2017 16:00:00,20.71
04/12/2017 16:00:00,20.4
05/12/2017 16:00:00,20.77
06/12/2017 16:00:00,21.09
07/12/2017 16:00:00,21.01
08/12/2017 16:00:00,21.1
11/12/2017 16:00:00,22.05
12/12/2017 16:00:00,21.65
13/12/2017 16:00:00,21.66
14/12/2017 16:00:00,22.58
15/12/2017 16:00:00,22.23
18/12/2017 16:00:00,24.68
19/12/2017 16:00:00,25.08
20/12/2017 16:00:00,25.2
21/12/2017 16:00:00,25.05
22/12/2017 16:00:00,24.46
26/12/2017 16:00:00,24.26
27/12/2017 16:00:00,24.23
28/12/2017 16:00:00,24.31
29/12/2017 16:00:00,24.01
02/01/2018 16:00:00,24.51
03/01/2018 16:00:00,24.45
04/01/2018 16:00:00,23.99
05/01/2018 16:00:00,24.32
08/01/2018 16:00:00,24.59
09/01/2018 16:00:00,24.17
10/01/2018 16:00:00,24.25
11/01/2018 16:00:00,24.35
12/01/2018 16:00:00,25.41
16/01/2018 16:00:00,24.66
17/01/2018 16:00:00,24.56
18/01/2018 16:00:00,24.04
19/01/2018 16:00:00,23.66
22/01/2018 16:00:00,23.32
23/01/2018 16:00:00,22.75
24/01/2018 16:00:00,22.37
25/01/2018 16:00:00,22.16
26/01/2018 16:00:00,24.27
29/01/2018 16:00:00,25.18
30/01/2018 16:00:00,25.62
31/01/2018 16:00:00,25.81
01/02/2018 16:00:00,27.14
02/02/2018 16:00:00,25.92
05/02/2018 16:00:00,25.13
06/02/2018 16:00:00,25.24
07/02/2018 16:00:00,26.91
08/02/2018 16:00:00,30.18
09/02/2018 16:00:00,31.51
12/02/2018 16:00:00,30.95
13/02/2018 16:00:00,33.44
14/02/2018 16:00:00,33.75
15/02/2018 16:00:00,33.61
